species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009
Adelie,Biscoe,37.9,18.6,193,2925,female,2009
Adelie,Torgersen,39,17.1,191,3050,female,2009
Chinstrap,Dream,47.6,18.3,195,3850,female,2008
Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
Adelie,Biscoe,43.2,19,197,4775,male,2009
Adelie,Dream,38.9,18.8,190,3600,female,2008
Adelie,Torgersen,NA,NA,NA,NA,NA,2007
Adelie,Dream,39.2,21.1,196,4150,male,2007
Chinstrap,Dream,42.4,17.3,181,3600,female,2007
Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
Adelie,Torgersen,39.2,19.6,195,4675,male,2007
Adelie,Dream,39.5,17.8,188,3300,female,2007
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
Adelie,Torgersen,35.2,15.9,186,3050,female,2009
Gentoo,Biscoe,50.7,15,223,5550,male,2008
Gentoo,Biscoe,49.9,16.1,213,5400,male,2009
Adelie,Torgersen,37.2,19.4,184,3900,male,2008
Gentoo,Biscoe,43.3,14,208,4575,female,2009
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
Adelie,Torgersen,36.7,18.8,187,3800,female,2008
Adelie,Biscoe,35.3,18.9,187,3800,female,2007
Adelie,Dream,39.6,18.1,186,4450,male,2008
Chinstrap,Dream,46.2,17.5,187,3650,female,2008
Adelie,Dream,40.7,17,190,3725,male,2009
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
Adelie,Torgersen,36.6,17.8,185,3700,female,2007
Chinstrap,Dream,51.4,19,201,3950,male,2009
Adelie,Torgersen,38.6,21.2,191,3800,male,2007
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
Adelie,Torgersen,37.7,19.8,198,3500,male,2009
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
Adelie,Torgersen,40.6,19,199,4000,male,2009
Gentoo,Biscoe,49.4,15.8,216,4925,male,2009
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
Adelie,Biscoe,36.5,16.6,181,2850,female,2008
Chinstrap,Dream,50.9,19.1,196,3550,male,2008
Adelie,Dream,37.2,18.1,178,3900,male,2007
Adelie,Dream,42.3,21.2,191,4150,male,2007
Chinstrap,Dream,52,20.7,210,4800,male,2008
Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
Adelie,Torgersen,39.6,17.2,196,3550,female,2008
Adelie,Dream,39.2,18.6,190,4250,male,2009
Adelie,Torgersen,33.5,19,190,3600,female,2008
Adelie,Biscoe,39.6,17.7,186,3500,female,2008
Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
Adelie,Dream,37.6,19.3,181,3300,female,2007
Chinstrap,Dream,54.2,20.8,201,4300,male,2008
Adelie,Dream,39.6,18.8,190,4600,male,2007
Gentoo,Biscoe,50,15.9,224,5350,male,2009
Adelie,Torgersen,38.7,19,195,3450,female,2007
Adelie,Biscoe,37.6,19.1,194,3750,male,2008
Chinstrap,Dream,50.2,18.7,198,3775,female,2009
Chinstrap,Dream,42.5,17.3,187,3350,female,2009
Gentoo,Biscoe,43.8,13.9,208,4300,female,2008
Gentoo,Biscoe,49.6,15,216,4750,male,2008
Chinstrap,Dream,52.8,20,205,4550,male,2008
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Adelie,Dream,40.9,18.9,184,3900,male,2007
Chinstrap,Dream,46.4,18.6,190,3450,female,2007
Chinstrap,Dream,50,19.5,196,3900,male,2007
Gentoo,Biscoe,43.5,14.2,220,4700,female,2008
Chinstrap,Dream,55.8,19.8,207,4000,male,2009
Adelie,Biscoe,38.2,20,190,3900,male,2009
Chinstrap,Dream,49,19.5,210,3950,male,2008
Gentoo,Biscoe,55.9,17,228,5600,male,2009
Chinstrap,Dream,52,19,197,4150,male,2007
Adelie,Torgersen,46,21.5,194,4200,male,2007
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
Gentoo,Biscoe,46.4,15,216,4700,female,2008
Adelie,Dream,40.6,17.2,187,3475,male,2009
Chinstrap,Dream,45.5,17,196,3500,female,2008
Adelie,Biscoe,35,17.9,192,3725,female,2009
Adelie,Biscoe,39.7,17.7,193,3200,female,2009
Chinstrap,Dream,46.8,16.5,189,3650,female,2009
Adelie,Torgersen,39.3,20.6,190,3650,male,2007
Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
Adelie,Dream,36.8,18.5,193,3500,female,2009
Gentoo,Biscoe,45.2,13.8,215,4750,female,2008
Gentoo,Biscoe,49.1,15,228,5500,male,2009
Adelie,Torgersen,41.8,19.4,198,4450,male,2008
Gentoo,Biscoe,45.8,14.2,219,4700,female,2008
Adelie,Dream,36.5,18,182,3150,female,2007
Chinstrap,Dream,51.3,18.2,197,3750,male,2007
Gentoo,Biscoe,52.1,17,230,5550,male,2009
Adelie,Biscoe,40.5,18.9,180,3950,male,2007
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Gentoo,Biscoe,47.7,15,216,4750,female,2008
Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008
Adelie,Torgersen,35.7,17,189,3350,female,2009
Gentoo,Biscoe,46.2,14.9,221,5300,male,2008
Chinstrap,Dream,50.3,20,197,3300,male,2007
Adelie,Dream,40.2,20.1,200,3975,male,2009
Gentoo,Biscoe,49.1,14.5,212,4625,female,2009
